log_prob,q1_loss,q2_loss,policy_loss,alpha
-1.3249407,1.4924996,1.4894669,-1.3242472,[0.99970007]
-1.3498006,1.5546458,1.5515453,-1.3509955,[0.9994001]
-1.3364908,1.5201086,1.5169005,-1.3395171,[0.99910027]
-1.3568287,1.511264,1.5086911,-1.3620124,[0.9988006]
-1.3783329,1.5711455,1.5689459,-1.3854258,[0.9985007]
-1.3320065,1.3808963,1.3795732,-1.3414576,[0.99820113]
-1.309823,1.5172744,1.5163713,-1.3216665,[0.9979018]
-1.3513682,1.4896113,1.4899921,-1.3658001,[0.9976025]
-1.3697028,1.558533,1.5590231,-1.3868974,[0.9973032]
-1.3599582,1.4992032,1.5015613,-1.3800726,[0.99700385]
-1.3692464,1.3766458,1.3797596,-1.3929567,[0.9967046]
-1.3540618,1.4481914,1.4528717,-1.3816463,[0.99640536]
-1.3328264,1.429303,1.4354732,-1.3644195,[0.9961063]
-1.3597071,1.3544039,1.3616483,-1.395992,[0.99580747]
-1.3822987,1.4063454,1.4152803,-1.4235666,[0.9955084]
-1.3861804,1.4081447,1.4191401,-1.4332546,[0.99520934]
-1.3670948,1.373576,1.3870184,-1.4211406,[0.9949103]
-1.3503339,1.2728097,1.2883457,-1.4109236,[0.9946115]
-1.3720672,1.2979703,1.3167086,-1.4399621,[0.99431276]
-1.3686886,1.1777129,1.1971264,-1.4459692,[0.99401397]
-1.3671415,1.3250034,1.3507991,-1.4538625,[0.99371535]
-1.3639032,1.2500758,1.276804,-1.4595821,[0.9934168]
-1.3627068,1.2218025,1.2543988,-1.4710197,[0.99311835]
-1.3731532,1.2348876,1.2714423,-1.4930844,[0.99281996]
-1.3608797,1.1617968,1.203793,-1.4971169,[0.99252164]
-1.3672162,1.0788959,1.123175,-1.5168233,[0.9922235]
-1.3794005,1.0718968,1.1197268,-1.5462863,[0.99192524]
-1.3701231,0.9711084,1.0245367,-1.5562334,[0.9916272]
-1.379921,0.90942013,0.9671108,-1.5861682,[0.9913291]
-1.3593922,0.9133158,0.97919875,-1.5859721,[0.9910312]
-1.3477029,0.8868959,0.9595771,-1.5966679,[0.9907335]
-1.3741004,0.82356215,0.8953886,-1.6474802,[0.9904359]
-1.3719896,0.77453125,0.85612386,-1.6718302,[0.9901383]
-1.3605669,0.721853,0.8017745,-1.6954545,[0.98984087]
-1.3758152,0.6313728,0.71826226,-1.7431159,[0.98954344]
-1.3792645,0.60010767,0.69242465,-1.77614,[0.989246]
-1.3551693,0.51199794,0.59846926,-1.7982862,[0.9889488]
-1.3664613,0.46821985,0.55962014,-1.8400487,[0.9886517]
-1.3556474,0.39447945,0.4845219,-1.8800352,[0.9883548]
-1.3643787,0.34667295,0.43152508,-1.9332709,[0.988058]
-1.357369,0.27707034,0.3585112,-1.9777368,[0.9877613]
-1.4030635,0.27066192,0.35009232,-2.0677946,[0.9874644]
-1.3694065,0.2709679,0.34349534,-2.0962195,[0.9871677]
-1.3645871,0.18804905,0.25478452,-2.144731,[0.9868711]
-1.3698096,0.14858499,0.19549951,-2.208208,[0.9865746]
-1.357905,0.122048505,0.15849091,-2.277358,[0.9862783]
-1.3496118,0.13722265,0.15752847,-2.3186858,[0.9859821]
-1.3764721,0.12352403,0.13933448,-2.4137053,[0.985686]
-1.3532298,0.12885074,0.12678494,-2.456555,[0.98539007]
-1.359,0.13976695,0.13686946,-2.5333114,[0.9850943]
-1.3679122,0.15435562,0.14494526,-2.5751247,[0.9847986]
-1.34866,0.18331422,0.16769633,-2.6220326,[0.9845031]
-1.3543668,0.16887464,0.15040451,-2.643024,[0.98420775]
-1.3869936,0.16915675,0.1598693,-2.6906655,[0.9839123]
-1.3596056,0.18306726,0.17717493,-2.6781235,[0.98361707]
-1.370163,0.15366589,0.15707445,-2.6829576,[0.9833217]
-1.3728435,0.16032326,0.17404032,-2.7029688,[0.9830265]
-1.3617527,0.1313374,0.14623128,-2.6759744,[0.98273146]
-1.3707812,0.13054991,0.14567007,-2.6722436,[0.9824364]
-1.3554871,0.15722625,0.18349764,-2.6451602,[0.98214155]
-1.3692793,0.12662667,0.14129773,-2.608756,[0.98184675]
-1.3406773,0.11444198,0.13377234,-2.5520883,[0.9815522]
-1.372096,0.1114669,0.11426535,-2.556724,[0.9812577]
-1.3497,0.11299504,0.122641385,-2.527998,[0.98096335]
-1.366889,0.11017626,0.11581312,-2.5180483,[0.980669]
-1.3703619,0.114548855,0.115405045,-2.4822164,[0.9803748]
-1.35764,0.13106309,0.13590194,-2.4445567,[0.98008066]
-1.353779,0.14215784,0.14225273,-2.4153275,[0.97978675]
-1.3513985,0.11830281,0.12106371,-2.40939,[0.979493]
-1.3735194,0.09818745,0.100192666,-2.4339337,[0.9791992]
